sample_num	time_passed	sampling_interval	epoch_time	imaging_frame	stimulus_epoch	stim_frame	stim_info1	stim_info2	stim_info3	
1	0.024	0.024	0	1.0	1	[0. 0.]	0	0	
2	0.017	0.041	0	1.0	2	[0. 0.]	0	0	
3	0.016	0.056	0	1.0	3	[0. 0.]	0	0	
4	0.017	0.073	0	1.0	4	[0. 0.]	0	0	
5	0.016	0.089	0	1.0	5	[0. 0.]	0	0	
6	0.017	0.106	0	1.0	6	[0. 0.]	0	0	
7	0.017	0.123	0	1.0	7	[0. 0.]	0	0	
8	0.016	0.139	0	1.0	8	[0. 0.]	0	0	
9	0.017	0.156	0	1.0	9	[0. 0.]	0	0	
10	0.017	0.173	0	1.0	10	[0. 0.]	0	0	
11	0.016	0.189	0	1.0	11	[0. 0.]	0	0	
12	0.017	0.206	0	1.0	12	[0. 0.]	0	0	
13	0.017	0.223	0	1.0	13	[0. 0.]	0	0	
14	0.016	0.239	0	1.0	14	[0. 0.]	0	0	
15	0.017	0.256	0	1.0	15	[0. 0.]	0	0	
16	0.017	0.273	0	1.0	16	[0. 0.]	0	0	
17	0.016	0.289	0	1.0	17	[0. 0.]	0	0	
18	0.017	0.306	0	1.0	18	[0. 0.]	0	0	
19	0.017	0.323	0	1.0	19	[0. 0.]	0	0	
20	0.017	0.339	0	1.0	20	[0. 0.]	0	0	
21	0.017	0.356	0	1.0	21	[0. 0.]	0	0	
22	0.017	0.373	0	1.0	22	[0. 0.]	0	0	
23	0.016	0.389	0	1.0	23	[0. 0.]	0	0	
24	0.017	0.406	0	1.0	24	[0. 0.]	0	0	
25	0.017	0.423	0	1.0	25	[0. 0.]	0	0	
26	0.016	0.439	0	1.0	26	[0. 0.]	0	0	
27	0.017	0.456	0	1.0	27	[0. 0.]	0	0	
28	0.017	0.473	0	1.0	28	[0. 0.]	0	0	
29	0.016	0.490	0	1.0	29	[0. 0.]	0	0	
30	0.016	0.506	0	1.0	30	[0. 0.]	0	0	
31	0.017	0.523	0	1.0	31	[0. 0.]	0	0	
32	0.016	0.539	0	1.0	32	[0. 0.]	0	0	
33	0.017	0.557	0	1.0	33	[0. 0.]	0	0	
34	0.016	0.573	0	1.0	34	[0. 0.]	0	0	
35	0.018	0.590	0	1.0	35	[0. 0.]	0	0	
36	0.016	0.606	0	1.0	36	[0. 0.]	0	0	
37	0.017	0.623	0	1.0	37	[0. 0.]	0	0	
38	0.016	0.639	0	1.0	38	[0. 0.]	0	0	
39	0.017	0.656	0	1.0	39	[0. 0.]	0	0	
40	0.016	0.673	0	1.0	40	[0. 0.]	0	0	
41	0.017	0.690	0	1.0	41	[0. 0.]	0	0	
42	0.016	0.706	0	1.0	42	[0. 0.]	0	0	
43	0.017	0.723	0	1.0	43	[0. 0.]	0	0	
44	0.017	0.739	0	1.0	44	[0. 0.]	0	0	
45	0.017	0.756	0	1.0	45	[0. 0.]	0	0	
46	0.017	0.773	0	1.0	46	[0. 0.]	0	0	
47	0.016	0.790	0	1.0	47	[0. 0.]	0	0	
