Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,polygon.started,polygon.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.137995702039916,None,11.171546186029445,None,1,001,2020_Oct_02_1628,grating_trial_1,2020.2.4,59.86271910511771,
1,0,1,0,15.141998307022732,None,16.142241539026145,None,1,001,2020_Oct_02_1628,grating_trial_1,2020.2.4,59.86271910511771,
2,0,2,0,20.128215623029973,None,21.128614623041358,None,1,001,2020_Oct_02_1628,grating_trial_1,2020.2.4,59.86271910511771,
,,,,25.13172971404856,None,,,,,,,,,
